supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.675,0.75,0.88; vcc_ff_c#0.675,0.75,0.88; vcc_tt_h#0.675,0.75,0.935; vcc_tt_c#0.69,0.78,0.935; vcc_ss_h#0.69,0.75,0.935; vcc_ss_c#0.69,0.78,0.935
vccana: 0.715,0.75,0.785
vccn: 0.99,1.1,1.188
vcctx: "0.5*vcn","0.5*vcn","0.5*vcn"

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
FFAG	typical	125	min	max	-7.89466564e-04	-3.01844129e-04	-2.75658799e-04	-3.27774160e-04	1.50481357e+03	1.37753217e+03	1.91882005e+03	1.17531988e+00	1.26801195e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	max	min	-6.30345173e-04	-2.41935448e-04	-2.15811691e-04	-2.68195423e-04	1.57056807e+03	1.43220021e+03	1.90898962e+03	9.72817711e-01	1.71822893e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	max	max	-7.90173568e-04	-3.00272344e-04	-2.72355909e-04	-3.27258810e-04	1.50346715e+03	1.38474291e+03	1.82139739e+03	1.17156533e+00	1.64346687e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	nom	nom	-7.19793990e-04	-2.73115469e-04	-2.45886994e-04	-3.00580932e-04	1.52821504e+03	1.40966017e+03	1.82835618e+03	1.08569357e+00	1.43064273e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	-40	min	min	-1.17848095e-04	-4.09935422e-05	-3.50594277e-05	-4.69311898e-05	8.40064492e+03	8.45255086e+03	8.42334940e+03	9.89524196e-01	4.75804081e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	min	max	-1.43205334e-04	-5.02030721e-05	-4.41765958e-05	-5.62370825e-05	8.29578038e+03	8.28236166e+03	8.29153937e+03	1.18754028e+00	4.59721987e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	max	min	-1.17977630e-04	-4.09904880e-05	-3.50557788e-05	-4.69284399e-05	8.39142135e+03	8.45318064e+03	8.42271159e+03	9.88049004e-01	1.95099642e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	max	max	-1.43334807e-04	-5.01874864e-05	-4.41438042e-05	-5.62307633e-05	8.28828686e+03	8.28493375e+03	8.27337956e+03	1.18586432e+00	2.13568326e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	nom	nom	-1.31581614e-04	-4.58277614e-05	-3.98602386e-05	-5.17990235e-05	8.35983055e+03	8.40102130e+03	8.37606185e+03	1.09924051e+00	7.59488197e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	125	min	min	-3.08226481e-04	-1.25942184e-04	-1.13467845e-04	-1.38359589e-04	3.21192390e+03	2.75126244e+03	4.01739633e+03	9.79981288e-01	1.00187121e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	min	max	-3.79828555e-04	-1.54469180e-04	-1.41805942e-04	-1.66967546e-04	3.12772693e+03	2.69179909e+03	3.97430939e+03	1.17873757e+00	9.26242904e-03	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	max	min	-3.08780865e-04	-1.25975591e-04	-1.13475658e-04	-1.38426795e-04	3.20615722e+03	2.75053284e+03	4.00783329e+03	9.77205305e-01	1.27946948e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	max	max	-3.80329445e-04	-1.54159146e-04	-1.41039076e-04	-1.66904114e-04	3.12360775e+03	2.69721265e+03	3.86622277e+03	1.17485553e+00	1.31444664e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	125	nom	nom	-3.46140336e-04	-1.40001750e-04	-1.27207201e-04	-1.52788289e-04	3.17790181e+03	2.74996563e+03	3.90913781e+03	1.08970090e+00	1.02991049e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSAG	typical	-40	min	min	-1.17895958e-04	-4.10649399e-05	-3.51308818e-05	-4.70008235e-05	8.39723448e+03	8.43785479e+03	8.42464120e+03	9.89437286e-01	5.62714256e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	min	max	-1.43181520e-04	-5.02790790e-05	-4.42739020e-05	-5.62906781e-05	8.29716012e+03	8.26984121e+03	8.32169955e+03	1.18747571e+00	5.24287595e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	max	min	-1.18039096e-04	-4.10618733e-05	-3.51274586e-05	-4.69981490e-05	8.38705167e+03	8.43848495e+03	8.42410985e+03	9.87873929e-01	2.12607091e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	max	max	-1.43324591e-04	-5.02650984e-05	-4.42427079e-05	-5.62850576e-05	8.28887763e+03	8.27214138e+03	8.30402722e+03	1.18568481e+00	2.31519464e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSAG	typical	-40	nom	nom	-1.31583481e-04	-4.59042814e-05	-3.99431741e-05	-5.18664588e-05	8.35971196e+03	8.38701725e+03	8.38695059e+03	1.09914531e+00	8.54694215e-04	-4.00000000e+01	1.00000000e+00																																																																																									
