supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
FFG	typical	125	max	min	-4.12106769e-04	-1.50273795e-04	-1.33144308e-04	-1.66130891e-04	2.40229007e+03	2.30579123e+03	3.03153555e+03	9.54034723e-01	3.59652771e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	max	max	-5.02301066e-04	-1.96072209e-04	-1.77550505e-04	-2.14335775e-04	2.36511543e+03	2.12064729e+03	2.71847950e+03	1.15535843e+00	3.26415662e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	nom	nom	-4.58411852e-04	-1.74028131e-04	-1.56408302e-04	-1.91123922e-04	2.39958892e+03	2.21228601e+03	2.88054772e+03	1.06742220e+00	3.25777999e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	-40	min	min	-1.52835015e-04	-5.32637798e-05	-4.55256921e-05	-6.10115433e-05	6.47757321e+03	6.50535883e+03	6.45750746e+03	9.88524620e-01	1.47538046e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	min	max	-1.86173562e-04	-6.57424914e-05	-5.77757559e-05	-7.37399079e-05	6.38114234e+03	6.32467664e+03	6.26403456e+03	1.18659573e+00	1.40427454e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	max	min	-1.52890541e-04	-5.32564231e-05	-4.55084976e-05	-6.10083532e-05	6.47522072e+03	6.50625746e+03	6.45167300e+03	9.87877259e-01	2.12274095e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	max	max	-1.86229055e-04	-6.56914395e-05	-5.76995912e-05	-7.37129434e-05	6.37924087e+03	6.32959185e+03	6.24478863e+03	1.18595645e+00	2.04355277e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	nom	nom	-1.70710836e-04	-5.97081788e-05	-5.18879866e-05	-6.75450526e-05	6.44364485e+03	6.44802785e+03	6.38689266e+03	1.09823959e+00	1.76041381e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	125	min	min	-3.88184752e-04	-1.45279458e-04	-1.28326985e-04	-1.61100941e-04	2.55033201e+03	2.38505846e+03	3.05120317e+03	9.60258604e-01	2.97413962e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	min	max	-4.87178044e-04	-1.99800497e-04	-1.81173388e-04	-2.18034799e-04	2.43853354e+03	2.08107590e+03	2.71286414e+03	1.16138876e+00	2.66112427e-02	1.25000000e+02	1.00000000e+00																																																																																									
