supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
FFAG	typical	-40	max	max	-6.25444863e-04	-2.14520712e-04	-1.88497814e-04	-2.40635181e-04	1.89944801e+03	1.93827438e+03	1.91801018e+03	1.18729451e+00	7.05493941e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	nom	nom	-5.74772478e-04	-1.97266725e-04	-1.71467951e-04	-2.23137148e-04	1.91380075e+03	1.95167229e+03	1.93538909e+03	1.09942680e+00	5.73195956e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	125	min	min	-7.50279549e-04	-2.68900918e-04	-2.33836021e-04	-3.03010807e-04	1.31950818e+03	1.28857872e+03	1.44561345e+03	9.66292307e-01	2.37076928e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	min	max	-9.26810637e-04	-3.48274854e-04	-3.11524711e-04	-3.84780285e-04	1.28181524e+03	1.19388464e+03	1.36508382e+03	1.16579484e+00	2.22051567e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	max	min	-7.50385753e-04	-2.68441561e-04	-2.32744235e-04	-3.02843756e-04	1.31932142e+03	1.29078373e+03	1.42654327e+03	9.63073760e-01	2.69262405e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	max	max	-9.26916205e-04	-3.45235013e-04	-3.07250925e-04	-3.83074748e-04	1.28166925e+03	1.20439696e+03	1.31884672e+03	1.16297315e+00	2.50268457e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	125	nom	nom	-8.43937525e-04	-3.09170390e-04	-2.72528050e-04	-3.45337097e-04	1.30341402e+03	1.24526802e+03	1.37345569e+03	1.07549677e+00	2.45032321e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG	typical	-40	min	min	-3.96752909e-04	-1.36499071e-04	-1.16706246e-04	-1.56333593e-04	2.49525581e+03	2.53847881e+03	2.52350988e+03	9.89821193e-01	1.78806989e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	min	max	-4.82587657e-04	-1.65425450e-04	-1.45431649e-04	-1.85477033e-04	2.46172894e+03	2.51351892e+03	2.49716666e+03	1.18779833e+00	2.01674333e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG	typical	-40	max	min	-3.96811689e-04	-1.36496632e-04	-1.16703518e-04	-1.56331323e-04	2.49488618e+03	2.53852417e+03	2.52348065e+03	9.89597856e-01	4.02144198e-04	-4.00000000e+01	1.00000000e+00																																																																																									
